draw_bet365_probs,date,season,fulltime_result,is_home,team,team_fulltime_goals,team_halftime_goals,team_win_bet365_probs,team_pre_rating,team_possession,team_total_shots,team_shots_on_target,team_shots_off_target,team_blocked,team_passing_percent,team_clear_cut_chances,team_corners,team_offsides,team_tackles_percent,team_aerial_duels,team_saves,team_fouls_committed,team_fouls_won,team_yellow_cards,team_red_cards,team_xg,opponent_fulltime_goals,opponent_halftime_goals,opponent_win_bet365_probs,opponent_pre_rating,opponent_possession,opponent_total_shots,opponent_shots_on_target,opponent_shots_off_target,opponent_blocked,opponent_passing_percent,opponent_clear_cut_chances,opponent_corners,opponent_offsides,opponent_tackles_percent,opponent_aerial_duels,opponent_saves,opponent_fouls_committed,opponent_fouls_won,opponent_yellow_cards,opponent_red_cards,opponent_xg,fd_team_fulltime_goals,fd_team_halftime_goals,fd_team_win_bet365_probs,fd_team_pre_rating,fd_team_possession,fd_team_total_shots,fd_team_shots_on_target,fd_team_shots_off_target,fd_team_blocked,fd_team_passing_percent,fd_team_clear_cut_chances,fd_team_corners,fd_team_offsides,fd_team_tackles_percent,fd_team_aerial_duels,fd_team_saves,fd_team_fouls_committed,fd_team_fouls_won,fd_team_yellow_cards,fd_team_red_cards,fd_team_xg,fd_draw_bet365_probs,fd_opponent_fulltime_goals,fd_opponent_halftime_goals,fd_opponent_win_bet365_probs,fd_opponent_pre_rating,fd_opponent_possession,fd_opponent_total_shots,fd_opponent_shots_on_target,fd_opponent_shots_off_target,fd_opponent_blocked,fd_opponent_passing_percent,fd_opponent_clear_cut_chances,fd_opponent_corners,fd_opponent_offsides,fd_opponent_tackles_percent,fd_opponent_aerial_duels,fd_opponent_saves,fd_opponent_fouls_committed,fd_opponent_fouls_won,fd_opponent_yellow_cards,fd_opponent_red_cards,fd_opponent_xg
0.34,2017-09-10,2017_2018,0,0,Girona,1,1,0.5,1816,44,15,4,7,4,79,2,2,3,55,75,2,11,15,3,0,0.4,1,1,0.15,2063,43,9,4,3,2,67,3,3,5,70,45,5,11,13,1,0,1.6,-1,-1,-0.33999999999999997,7,-8,2,-2,0,4,-4,-1,-4,3,-3,30,1,-4,1,1,0,-0.8000000000000003,0.04999999999999999,1,1,0.24,-4,-20,-4,2,-5,-1,-12,1,-4,4,-2,-22,3,-5,-1,0,0,-0.09999999999999987
0.37,2017-09-10,2017_2018,0,0,Real Betis,2,1,0.44,1865,45,10,3,7,0,82,3,4,1,66,48,1,13,8,2,0,0.9,0,0,0.19,2022,39,6,1,3,2,78,0,4,2,75,44,6,22,11,2,0,1.5,2,1,-0.38,-1,6,7,3,5,-1,-1,3,4,0,16,-14,0,-2,-8,1,0,1.5,0.04999999999999999,0,0,0.14999999999999997,-13,-19,-2,0,1,-3,-3,0,-2,1,12,-10,4,8,-6,-1,0,-0.3
0.36,2017-09-17,2017_2018,2,0,Villarreal,3,1,0.28,2033,47,14,7,5,2,86,1,4,2,58,52,2,9,9,3,0,2.1,0,0,0.36,1943,33,5,3,2,0,69,1,4,2,64,42,2,17,15,4,0,0.7,3,1,-0.21999999999999997,-13,8,8,6,2,0,8,1,0,0,-16,8,-4,-13,-2,1,0,1.3,0.0,0,0,-0.09999999999999998,-6,6,-6,1,-1,-6,-3,0,3,1,-7,-14,-7,5,6,2,0,-0.4
0.37,2017-09-17,2017_2018,2,0,Sevilla,3,0,0.26,2084,59,12,6,5,1,79,5,6,4,77,45,1,14,15,1,0,1.2,0,0,0.37,1812,51,12,7,3,2,77,0,4,2,75,42,3,18,18,6,0,1.7,2,0,-0.09999999999999998,7,3,6,3,2,1,1,3,1,1,9,1,-2,4,-5,0,0,1.8,-0.010000000000000009,-1,-1,0.26,10,6,-3,3,-4,-2,-2,-2,2,-1,20,-33,1,7,3,3,0,-0.9999999999999999
0.39,2017-09-17,2017_2018,0,0,Athletic Bilbao,2,1,0.29,2065,48,7,4,2,1,75,2,6,0,80,57,7,19,18,4,0,1.2,3,1,0.32,1866,50,10,8,2,0,77,5,2,2,70,48,5,11,21,2,0,1.0,1,0,-0.21,10,5,-2,0,-1,-1,8,-1,3,-5,10,12,2,8,5,3,0,0.5,-0.019999999999999962,2,1,-0.050000000000000044,-7,-11,-1,4,-3,-2,-11,4,-2,0,1,29,4,0,13,-2,0,0.6000000000000001
0.37,2017-09-18,2017_2018,0,0,Celta Vigo,1,1,0.36,1947,66,20,3,10,7,85,3,9,4,100,57,3,17,17,4,0,1.1,0,0,0.26,1937,23,9,1,5,3,64,0,7,1,66,31,4,18,11,5,0,0.8,0,0,-0.22,-10,12,11,2,3,6,2,3,3,2,41,5,2,8,4,2,0,2.4000000000000004,-0.030000000000000027,0,0,0.45,-16,-36,-6,-1,-4,-1,-11,-1,-2,1,-12,-9,-3,8,-3,2,0,-0.5
0.32,2017-09-19,2017_2018,0,0,Malaga,0,0,0.56,1889,34,9,4,2,3,74,0,4,0,63,61,3,15,8,2,0,0.8,1,1,0.12,1957,53,13,5,6,2,79,2,3,6,78,56,1,11,21,1,0,3.0,-1,0,0.4600000000000001,-22,-15,-5,-2,-4,1,-3,-1,1,-3,-5,10,-2,-7,-3,-2,0,-0.4,-0.10999999999999999,1,1,-0.14,5,4,2,5,1,-4,-2,1,-1,6,19,6,-3,-5,7,0,0,1.2
0.36,2017-09-20,2017_2018,2,0,Atletico Madrid,1,0,0.25,2224,65,17,4,9,4,86,2,8,5,81,38,4,9,15,2,0,2.2,0,0,0.38,2052,45,11,5,3,3,78,1,6,2,66,60,2,19,12,3,0,2.0,1,0,-0.19,-4,14,4,0,3,1,4,2,5,5,1,-11,4,-5,0,2,0,0.9,-0.08999999999999997,-2,-1,0.13999999999999999,2,-3,4,1,1,2,2,-1,0,2,-13,2,-5,0,-6,-1,0,-0.40000000000000013
0.35,2017-09-20,2017_2018,0,0,Las Palmas,1,0,0.55,1879,55,12,3,8,1,79,1,7,1,63,40,5,12,19,2,0,0.4,1,0,0.1,2089,54,13,8,3,2,84,3,1,3,60,44,0,19,14,4,0,1.4,-2,-1,-0.08999999999999997,22,4,2,-5,6,1,2,-4,5,-1,-7,-8,0,1,-2,0,0,-1.0,0.010000000000000009,-2,0,0.12,14,-4,1,2,-2,1,5,-2,-5,-1,-17,0,-1,5,-1,3,0,-1.8
0.36,2017-09-21,2017_2018,1,0,Getafe,1,1,0.45,1849,29,13,4,7,2,68,0,3,4,65,73,3,15,14,2,0,0.8,1,0,0.18,1940,64,11,1,6,4,84,2,5,3,80,54,1,14,10,4,0,0.6,-1,0,0.15999999999999998,13,-8,3,2,2,-1,10,-1,-1,2,-6,30,-3,-5,2,0,0,0.6,0.0,0,-1,0.19999999999999998,7,-2,-9,-2,-4,-3,-1,-1,-4,-1,-20,-2,-2,-3,-7,0,0,-1.6
0.37,2017-09-21,2017_2018,0,0,Real Sociedad,1,1,0.26,2049,50,10,5,5,0,84,0,4,0,55,58,4,12,15,3,0,0.7,1,1,0.37,1875,46,9,2,2,5,73,0,1,2,50,43,4,21,11,2,0,1.9,-3,-1,0.16999999999999998,21,-7,-5,1,-2,-4,3,-2,-3,-1,5,8,2,-2,-3,0,0,-1.5,-0.010000000000000009,0,0,-0.31000000000000005,10,14,4,0,1,3,2,-1,-2,1,-16,1,-5,5,2,0,0,0.20000000000000007
0.33,2017-09-21,2017_2018,1,0,Espanyol,2,2,0.51,1944,35,9,3,3,3,73,1,3,2,84,45,0,12,13,1,0,1.0,3,1,0.16,2051,52,16,6,4,6,84,1,3,3,85,41,2,25,12,2,0,1.5,2,2,-0.39,-3,12,0,2,-2,0,8,1,-4,1,17,14,-4,-6,2,-4,0,0.10000000000000009,0.06,0,0,0.09000000000000002,11,4,2,-1,-1,4,-2,0,-1,1,26,-11,0,16,3,-1,0,0.6000000000000001
0.38,2017-09-23,2017_2018,1,0,Athletic Bilbao,1,0,0.28,2044,56,12,7,5,0,81,1,6,3,68,55,7,12,11,0,0,1.9,0,0,0.34,1878,50,11,2,6,3,83,1,9,0,62,50,6,10,9,1,0,2.2,1,0,0.09000000000000002,-13,11,1,2,2,-3,3,0,0,1,1,-4,5,-7,-1,-3,0,0.8,-0.030000000000000027,0,0,-0.12,-2,16,2,-2,4,0,8,1,5,0,0,-11,3,-5,1,-1,0,0.20000000000000007
0.37,2017-09-24,2017_2018,2,0,Celta Vigo,1,1,0.38,1935,66,8,4,3,1,82,1,3,5,84,56,2,9,20,2,0,1.2,1,0,0.25,1947,39,13,4,6,3,78,2,8,2,65,66,4,9,4,2,0,1.1,0,1,-0.18,-7,1,-3,3,-3,-3,-2,-1,-2,2,4,2,1,-5,10,-2,0,-0.5000000000000001,-0.010000000000000009,0,0,0.35,5,-17,3,0,2,1,13,2,0,-3,3,21,2,-6,-15,0,0,0.8
0.37,2017-09-24,2017_2018,0,0,Deportivo La Coruna,1,1,0.42,1857,57,15,3,9,3,80,3,5,2,82,48,3,16,18,0,0,1.6,0,0,0.21,1949,45,10,3,7,0,74,2,5,0,75,56,5,10,15,2,0,2.7,0,0,-0.25,-7,19,3,0,4,-1,4,3,1,-2,18,4,-2,-3,6,-3,0,1.2,-0.019999999999999962,-2,-2,0.25,7,10,1,0,4,-3,1,1,2,-2,-9,11,5,-2,2,1,0,0.19999999999999996
0.36,2017-09-24,2017_2018,0,0,Villarreal,0,0,0.31,2046,54,14,5,7,2,81,2,5,0,44,43,3,17,10,5,0,1.1,1,0,0.33,1854,33,10,3,3,4,65,1,2,5,55,43,3,21,8,4,0,2.3,-3,-1,-0.12000000000000002,18,2,-2,-1,3,-4,-3,1,2,-3,-40,1,1,-8,-2,3,0,-0.6000000000000001,-0.02999999999999997,0,-1,-0.13999999999999996,-2,3,-3,-1,-4,2,-3,1,-1,1,-9,-30,0,6,-6,2,0,-0.19999999999999996
0.36,2017-09-24,2017_2018,2,0,Leganes,0,0,0.42,1834,58,12,1,7,4,72,0,6,6,63,56,0,19,18,2,0,1.6,0,0,0.23,1876,40,7,0,6,1,78,0,0,1,68,40,8,8,21,2,0,0.7,0,0,-0.19,-5,15,7,-1,6,2,20,0,5,1,-1,2,-3,-1,3,-3,0,0.3,0.0,-1,0,0.23000000000000004,13,-14,-5,-3,-2,0,0,-1,-7,0,5,0,3,-4,2,0,0,-0.6
0.36,2017-09-25,2017_2018,0,0,Levante,3,1,0.46,1896,32,13,9,3,1,67,1,3,1,75,40,3,13,11,2,0,0.4,1,0,0.19,1886,40,12,4,5,3,82,2,3,4,80,54,7,11,13,3,0,2.2,2,0,0.0,-1,-14,4,7,1,-4,-6,1,2,-1,25,-2,-1,-8,0,0,0,0.9999999999999999,0.0,-1,-1,0.42,7,-21,-5,-3,0,-2,-2,-1,-3,3,21,-1,5,-2,-6,1,0,-1.5
