date,season,fulltime_result,is_home,team,team_fulltime_goals,team_win_bet365_probs,team_pre_rating,team_possession,team_total_shots,team_shots_on_target,team_passing_percent,team_clear_cut_chances,team_corners,team_offsides,team_fouls_committed,team_xg,opponent_fulltime_goals,opponent_win_bet365_probs,opponent_pre_rating,opponent_possession,opponent_total_shots,opponent_shots_on_target,opponent_passing_percent,opponent_clear_cut_chances,opponent_corners,opponent_offsides,opponent_fouls_committed,opponent_xg,fd_team_fulltime_goals,fd_team_win_bet365_probs,fd_team_total_shots,fd_team_shots_on_target,fd_team_shots_off_target,fd_team_clear_cut_chances,fd_team_xg,fd_opponent_fulltime_goals,fd_opponent_win_bet365_probs,fd_opponent_total_shots,fd_opponent_shots_on_target,fd_opponent_shots_off_target,fd_opponent_clear_cut_chances,fd_opponent_xg
2017-09-08,2017_2018,2,0,Getafe,0,0.43,1838,43,15,3,65,3,7,3,20,0.4,1,0.22,1856,40,12,8,69,0,1,4,14,1.6,0,-0.17999999999999994,7,1,4,3,1.3,0,0.23,-2,5,-3,-1,-0.10000000000000009
2017-09-09,2017_2018,1,0,Levante,2,0.68,1866,57,24,5,84,2,6,0,11,0.7,2,0.02,2406,65,22,6,90,5,13,3,12,3.1,1,-0.12,10,2,6,2,1.0,-1,-0.03,6,-2,8,3,1.1
2017-09-09,2017_2018,0,0,Eibar,0,0.52,1953,56,14,5,73,1,4,2,14,0.8,1,0.14,2070,56,6,3,77,2,5,3,10,3.0,-1,-0.12,1,-1,0,-1,-0.19999999999999996,0,0.09,-3,-1,-1,0,-1.2
2017-09-09,2017_2018,1,0,Atletico Madrid,5,0.24,2226,37,8,6,80,0,2,0,9,0.6,2,0.4,1951,34,7,3,78,1,4,3,12,0.5,3,0.06000000000000001,-1,3,-2,-2,-0.29999999999999993,1,0.44999999999999996,-15,-3,-8,1,-0.4999999999999999
2017-09-10,2017_2018,0,0,Girona,1,0.5,1816,44,15,4,79,2,2,3,11,0.4,1,0.15,2063,43,9,4,67,3,3,5,11,1.6,-1,-0.33999999999999997,2,-2,0,-1,-0.8000000000000003,1,0.24,-4,2,-5,1,-0.09999999999999987
2017-09-10,2017_2018,0,0,Alaves,0,0.49,1950,26,11,2,73,1,1,1,12,0.5,1,0.16,1940,54,9,1,83,0,6,2,9,2.7,0,0.14999999999999997,2,-3,0,1,-0.20000000000000007,-1,0.10999999999999999,-7,-4,3,-3,-1.5
2017-09-10,2017_2018,2,0,Real Sociedad,3,0.3,2034,60,15,9,87,3,10,2,12,2.0,2,0.32,1867,42,11,4,78,0,5,7,12,1.0,0,-0.13999999999999999,2,3,-2,2,-0.10000000000000009,2,-0.16999999999999993,-1,-2,0,-1,-0.8999999999999999
2017-09-10,2017_2018,0,0,Real Betis,2,0.44,1865,45,10,3,82,3,4,1,13,0.9,0,0.19,2022,39,6,1,78,0,4,2,22,1.5,2,-0.38,7,3,5,3,1.5,0,0.14999999999999997,-2,0,1,0,-0.3
2017-09-11,2017_2018,2,0,Las Palmas,1,0.41,1844,62,11,4,88,1,4,2,11,2.0,0,0.22,1913,55,7,2,82,0,3,1,15,1.0,1,0.010000000000000009,6,0,4,1,1.2,0,0.17,-3,-2,0,-2,-0.5
2017-09-15,2017_2018,0,0,Leganes,1,0.43,1843,61,11,7,73,0,2,0,14,0.3,0,0.22,1945,40,7,2,67,1,5,2,18,0.5,0,-0.23,-1,-1,1,0,0.40000000000000013,0,0.23000000000000004,-7,-3,-2,0,-0.3999999999999999
