is_home,team_fulltime_goals,team_win_bet365_probs,team_pre_rating,team_possession,team_total_shots,team_shots_on_target,team_passing_percent,team_clear_cut_chances,team_corners,team_offsides,team_fouls_committed,team_xg,opponent_fulltime_goals,opponent_win_bet365_probs,opponent_pre_rating,opponent_possession,opponent_total_shots,opponent_shots_on_target,opponent_passing_percent,opponent_clear_cut_chances,opponent_corners,opponent_offsides,opponent_fouls_committed,opponent_xg,fd_team_fulltime_goals,fd_team_win_bet365_probs,fd_team_total_shots,fd_team_shots_on_target,fd_team_shots_off_target,fd_team_clear_cut_chances,fd_team_xg,fd_opponent_fulltime_goals,fd_opponent_win_bet365_probs,fd_opponent_total_shots,fd_opponent_shots_on_target,fd_opponent_shots_off_target,fd_opponent_clear_cut_chances,fd_opponent_xg,fulltime_result
0.0,1,0.5,1816,44,15,4,79,2,2,3,11,0.4,1,0.15,2063,43,9,4,67,3,3,5,11,1.6,-1,-0.33999999999999997,2,-2,0,-1,-0.8000000000000003,1,0.24,-4,2,-5,1,-0.09999999999999987,0
0.0,2,0.44,1865,45,10,3,82,3,4,1,13,0.9,0,0.19,2022,39,6,1,78,0,4,2,22,1.5,2,-0.38,7,3,5,3,1.5,0,0.14999999999999997,-2,0,1,0,-0.3,0
0.0,3,0.28,2033,47,14,7,86,1,4,2,9,2.1,0,0.36,1943,33,5,3,69,1,4,2,17,0.7,3,-0.21999999999999997,8,6,2,1,1.3,0,-0.09999999999999998,-6,1,-1,0,-0.4,2
0.0,3,0.26,2084,59,12,6,79,5,6,4,14,1.2,0,0.37,1812,51,12,7,77,0,4,2,18,1.7,2,-0.09999999999999998,6,3,2,3,1.8,-1,0.26,-3,3,-4,-2,-0.9999999999999999,2
0.0,2,0.29,2065,48,7,4,75,2,6,0,19,1.2,3,0.32,1866,50,10,8,77,5,2,2,11,1.0,1,-0.21,-2,0,-1,-1,0.5,2,-0.050000000000000044,-1,4,-3,4,0.6000000000000001,0
0.0,1,0.36,1947,66,20,3,85,3,9,4,17,1.1,0,0.26,1937,23,9,1,64,0,7,1,18,0.8,0,-0.22,11,2,3,3,2.4000000000000004,0,0.45,-6,-1,-4,-1,-0.5,0
0.0,0,0.56,1889,34,9,4,74,0,4,0,15,0.8,1,0.12,1957,53,13,5,79,2,3,6,11,3.0,-1,0.4600000000000001,-5,-2,-4,-1,-0.4,1,-0.14,2,5,1,1,1.2,0
0.0,1,0.25,2224,65,17,4,86,2,8,5,9,2.2,0,0.38,2052,45,11,5,78,1,6,2,19,2.0,1,-0.19,4,0,3,2,0.9,-2,0.13999999999999999,4,1,1,-1,-0.40000000000000013,2
0.0,1,0.55,1879,55,12,3,79,1,7,1,12,0.4,1,0.1,2089,54,13,8,84,3,1,3,19,1.4,-2,-0.08999999999999997,2,-5,6,-4,-1.0,-2,0.12,1,2,-2,-2,-1.8,0
0.0,1,0.45,1849,29,13,4,68,0,3,4,15,0.8,1,0.18,1940,64,11,1,84,2,5,3,14,0.6,-1,0.15999999999999998,3,2,2,-1,0.6,0,0.19999999999999998,-9,-2,-4,-1,-1.6,1
