season,date,home,away,fulltime_home_goals,fulltime_away_goals,fulltime_result,halftime_home_goals,halftime_away_goals,halftime_result,bet365_home_win_odds,bet365_draw_odds,bet365_away_win_odds,betandwin_home_win_odds,betandwin_draw_odds,betandwin_away_win_odds,interwetten_home_win_odds,interwetten_draw_odds,interwetten_away_win_odds,pinnaclesports_home_win_odds,pinnaclesports_draw_odds,pinnaclesports_away_win_odds,williamhill_home_win_odds,williamhill_draw_odds,williamhill_away_win_odds,vcbet_home_win_odds,vcbet_draw_odds,vcbet_away_win_odds,pinnaclesports_closing_home_win_odds,pinnaclesports_closing_draw_odds,pinnaclesports_closing_away_win_odds,home_pre_rating,home_rating_delta,home_post_rating,away_pre_rating,away_rating_delta,away_post_rating,venue,attendance,home_possession,away_possession,home_total_shots,away_total_shots,home_shots_on_target,away_shots_on_target,home_shots_off_target,away_shots_off_target,home_blocked,away_blocked,home_passing_percent,away_passing_percent,home_clear_cut_chances,away_clear_cut_chances,home_corners,away_corners,home_offsides,away_offsides,home_tackles_percent,away_tackles_percent,home_aerial_duels,away_aerial_duels,home_saves,away_saves,home_fouls_committed,away_fouls_committed,home_fouls_won,away_fouls_won,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_xg,away_xg
2017_2018,2017-08-18,Leganes,Alaves,1,0,H,1,0,H,2.05,3.2,4.1,2.05,3.1,4.1,2.1,3.4,3.5,2.03,3.25,4.52,2.05,3.1,4.0,2.05,3.2,4.4,1.98,3.35,4.63,1829,11.0,1840.0,1967,-11.0,1956.0,Butarque,9231.0,52.6,47.4,14,9,3,5,6,3,5,1,68.3,67.9,1,0,4,2,3,0,65.2,68.4,66.7,33.3,5,2,17,17,16,17,0,1,0,0,1.3,1.1
2017_2018,2017-08-18,Valencia,Las Palmas,1,0,H,1,0,H,1.75,3.8,4.5,1.75,3.9,4.6,1.75,3.6,4.8,1.78,4.01,4.83,1.8,3.75,4.2,1.8,4.0,4.6,1.78,4.24,4.43,1937,5.0,1942.0,1856,-5.0,1851.0,Mestalla,36019.0,47.5,52.5,22,5,6,4,10,1,6,0,82.0,83.8,0,0,5,2,2,1,56.3,52.9,50.0,50.0,4,5,25,13,13,24,3,2,0,1,1.4,0.2
2017_2018,2017-08-19,Celta Vigo,Real Sociedad,2,3,A,1,1,D,2.38,3.25,3.2,2.4,3.3,3.0,2.5,3.3,2.85,2.44,3.4,3.16,2.4,3.4,2.9,2.4,3.4,3.13,2.12,3.53,3.74,1961,-11.0,1950.0,2010,11.0,2021.0,Balaidos,16207.0,52.7,47.3,16,13,5,6,4,6,7,1,82.5,80.3,3,1,5,4,3,1,54.5,64.7,45.8,54.2,3,3,12,11,10,11,3,1,0,0,1.8,2.1
2017_2018,2017-08-19,Girona,Atletico Madrid,2,2,D,2,0,H,8.0,4.33,1.45,7.5,4.33,1.45,7.2,4.4,1.45,8.36,4.38,1.49,8.0,4.2,1.44,7.5,4.3,1.5,6.93,3.83,1.63,1799,7.0,1806.0,2226,-7.0,2219.0,Municipal de Montilivi,11342.0,52.6,47.4,13,9,6,3,7,4,0,2,84.2,77.6,3,2,6,0,0,2,58.3,56.3,45.2,54.8,1,4,15,15,14,15,2,4,0,1,2.2,0.7
2017_2018,2017-08-19,Sevilla,Espanyol,1,1,D,1,1,D,1.62,4.0,5.5,1.62,3.9,5.75,1.55,4.0,6.2,1.62,4.17,6.18,1.67,3.6,5.5,1.65,4.0,5.75,1.64,4.18,5.82,2077,-6.0,2071.0,1950,6.0,1956.0,Ramon Sanchez Pizjuan,30506.0,62.0,38.0,9,9,4,6,4,2,1,1,83.3,71.7,2,0,7,3,6,0,47.1,68.8,61.3,38.7,5,3,14,12,12,14,2,4,1,0,2.4,1.3
2017_2018,2017-08-20,Athletic Bilbao,Getafe,0,0,D,0,0,D,1.5,4.0,7.5,1.48,4.25,7.0,1.5,4.2,6.5,1.53,4.37,7.31,1.5,4.0,7.0,1.5,4.2,7.0,1.53,4.48,6.91,2057,-7.0,2050.0,1838,7.0,1845.0,San Mames,38110.0,63.9,36.1,13,8,2,2,8,4,3,2,79.9,62.4,2,0,7,6,1,1,72.2,62.5,68.3,31.7,2,2,16,15,14,15,1,3,0,1,1.2,0.5
2017_2018,2017-08-20,Barcelona,Real Betis,2,0,H,2,0,H,1.17,8.0,15.0,1.18,7.5,14.5,1.17,7.5,15.0,1.22,7.35,15.5,1.22,6.0,13.0,1.2,7.0,13.0,1.2,8.25,15.2,2288,1.0,2289.0,1856,-1.0,1855.0,Camp Nou,54560.0,60.8,39.2,15,3,2,0,8,2,5,1,88.6,83.6,1,0,8,0,2,1,66.7,50.0,37.5,62.5,0,1,16,15,15,16,2,1,0,0,1.1,0.1
2017_2018,2017-08-20,Deportivo La Coruna,Real Madrid,0,3,A,0,2,A,9.5,5.75,1.3,9.25,5.75,1.3,7.5,5.5,1.35,10.26,5.79,1.33,11.0,4.5,1.33,9.5,5.75,1.3,12.4,7.0,1.26,1866,-2.0,1864.0,2413,2.0,2415.0,Riazor,27801.0,31.8,68.2,12,16,6,8,5,4,1,4,78.1,89.0,1,2,4,4,2,2,62.5,70.0,52.6,47.4,5,5,16,12,12,16,5,1,0,1,1.7,2.1
2017_2018,2017-08-21,Levante,Villarreal,1,0,H,0,0,D,3.25,3.25,2.3,3.25,3.2,2.3,3.3,3.35,2.2,3.36,3.24,2.36,3.1,3.1,2.4,3.25,3.25,2.3,3.31,3.32,2.4,1856,13.0,1869.0,2048,-13.0,2035.0,Ciutat de Valencia,12942.0,41.7,58.3,14,8,3,1,7,2,4,5,77.7,82.2,0,0,11,6,2,1,100.0,62.5,45.5,54.5,1,2,18,14,14,17,1,3,0,0,1.4,0.5
2017_2018,2017-08-21,Malaga,Eibar,0,1,A,0,0,D,2.1,3.3,3.7,2.15,3.3,3.5,2.1,3.4,3.5,2.24,3.36,3.49,2.2,3.3,3.3,2.15,3.3,3.5,2.2,3.27,3.85,1935,-12.0,1923.0,1951,12.0,1963.0,La Rosaleda,24838.0,55.0,45.0,10,13,4,6,3,4,3,3,76.6,71.9,2,2,3,7,2,5,53.3,64.3,37.5,62.5,5,4,16,15,12,15,2,3,0,0,0.9,1.4
