Div,Date,HomeTeam,AwayTeam,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Time
primera,21/08/99,Ath Bilbao,Betis,0.0,0.0,D,,,,,,,,,,,,,
primera,21/08/99,Mallorca,Real Madrid,0.0,0.0,D,,,,,,,,,,,,,
primera,21/08/99,Valencia,Santander,0.0,1.0,A,,,,,,,,,,,,,
primera,22/08/99,Ath Madrid,Vallecano,0.0,1.0,A,,,,,,,,,,,,,
primera,22/08/99,Barcelona,Zaragoza,0.0,0.0,D,,,,,,,,,,,,,
primera,22/08/99,La Coruna,Alaves,3.0,1.0,H,,,,,,,,,,,,,
primera,22/08/99,Malaga,Espanol,0.0,0.0,D,,,,,,,,,,,,,
primera,22/08/99,Numancia,Valladolid,1.0,0.0,H,,,,,,,,,,,,,
primera,22/08/99,Oviedo,Celta,0.0,0.0,D,,,,,,,,,,,,,
primera,22/08/99,Sevilla,Sociedad,2.0,1.0,H,,,,,,,,,,,,,
primera,28/08/99,Sociedad,Ath Madrid,0.0,1.0,A,,,,,,,,,,,,,
primera,29/08/99,Alaves,Malaga,0.0,1.0,A,,,,,,,,,,,,,
primera,29/08/99,Betis,La Coruna,0.0,0.0,D,,,,,,,,,,,,,
primera,29/08/99,Celta,Sevilla,1.0,0.0,H,,,,,,,,,,,,,
primera,29/08/99,Espanol,Valencia,2.0,0.0,H,,,,,,,,,,,,,
primera,29/08/99,Real Madrid,Numancia,0.0,0.0,D,,,,,,,,,,,,,
primera,29/08/99,Santander,Barcelona,0.0,2.0,A,,,,,,,,,,,,,
primera,29/08/99,Valladolid,Ath Bilbao,1.0,0.0,H,,,,,,,,,,,,,
primera,29/08/99,Vallecano,Mallorca,0.0,1.0,A,,,,,,,,,,,,,
primera,29/08/99,Zaragoza,Oviedo,2.0,0.0,H,,,,,,,,,,,,,
primera,11/09/99,Barcelona,Espanol,0.0,0.0,D,,,,,,,,,,,,,
primera,11/09/99,La Coruna,Valladolid,2.0,0.0,H,,,,,,,,,,,,,
primera,11/09/99,Valencia,Alaves,0.0,0.0,D,,,,,,,,,,,,,
primera,12/09/99,Ath Bilbao,Real Madrid,2.0,1.0,H,,,,,,,,,,,,,
primera,12/09/99,Ath Madrid,Celta,1.0,1.0,D,,,,,,,,,,,,,
primera,12/09/99,Malaga,Betis,1.0,0.0,H,,,,,,,,,,,,,
primera,12/09/99,Mallorca,Numancia,3.0,0.0,H,,,,,,,,,,,,,
primera,12/09/99,Oviedo,Santander,0.0,2.0,A,,,,,,,,,,,,,
primera,12/09/99,Sevilla,Zaragoza,0.0,0.0,D,,,,,,,,,,,,,
primera,12/09/99,Vallecano,Sociedad,1.0,0.0,H,,,,,,,,,,,,,
primera,18/09/99,Alaves,Barcelona,1.0,1.0,D,,,,,,,,,,,,,
primera,18/09/99,Betis,Valencia,1.0,0.0,H,,,,,,,,,,,,,
primera,18/09/99,Espanol,Oviedo,0.0,1.0,A,,,,,,,,,,,,,
primera,18/09/99,Real Madrid,La Coruna,0.0,0.0,D,,,,,,,,,,,,,
primera,18/09/99,Valladolid,Malaga,1.0,1.0,D,,,,,,,,,,,,,
primera,19/09/99,Celta,Vallecano,0.0,0.0,D,,,,,,,,,,,,,
primera,19/09/99,Numancia,Ath Bilbao,1.0,1.0,D,,,,,,,,,,,,,
primera,19/09/99,Santander,Sevilla,1.0,2.0,A,,,,,,,,,,,,,
primera,19/09/99,Sociedad,Mallorca,1.0,0.0,H,,,,,,,,,,,,,
primera,19/09/99,Zaragoza,Ath Madrid,1.0,1.0,D,,,,,,,,,,,,,
primera,25/09/99,Barcelona,Betis,2.0,1.0,H,,,,,,,,,,,,,
primera,25/09/99,Malaga,Real Madrid,0.0,1.0,A,,,,,,,,,,,,,
primera,25/09/99,Sociedad,Celta,0.0,0.0,D,,,,,,,,,,,,,
primera,25/09/99,Valencia,Valladolid,0.0,0.0,D,,,,,,,,,,,,,
primera,26/09/99,Ath Madrid,Santander,0.0,0.0,D,,,,,,,,,,,,,
primera,26/09/99,La Coruna,Numancia,0.0,1.0,A,,,,,,,,,,,,,
primera,26/09/99,Mallorca,Ath Bilbao,1.0,0.0,H,,,,,,,,,,,,,
primera,26/09/99,Oviedo,Alaves,1.0,0.0,H,,,,,,,,,,,,,
primera,26/09/99,Sevilla,Espanol,1.0,1.0,D,,,,,,,,,,,,,
primera,26/09/99,Vallecano,Zaragoza,0.0,0.0,D,,,,,,,,,,,,,
primera,02/10/99,Numancia,Malaga,0.0,1.0,A,,,,,,,,,,,,,
primera,02/10/99,Valladolid,Barcelona,0.0,1.0,A,,,,,,,,,,,,,
primera,03/10/99,Alaves,Sevilla,0.0,0.0,D,,,,,,,,,,,,,
primera,03/10/99,Ath Bilbao,La Coruna,0.0,1.0,A,,,,,,,,,,,,,
primera,03/10/99,Betis,Oviedo,1.0,0.0,H,,,,,,,,,,,,,
primera,03/10/99,Celta,Mallorca,0.0,0.0,D,,,,,,,,,,,,,
primera,03/10/99,Espanol,Ath Madrid,1.0,1.0,D,,,,,,,,,,,,,
primera,03/10/99,Real Madrid,Valencia,0.0,3.0,A,,,,,,,,,,,,,
primera,03/10/99,Santander,Vallecano,0.0,0.0,D,,,,,,,,,,,,,
primera,03/10/99,Zaragoza,Sociedad,0.0,0.0,D,,,,,,,,,,,,,
primera,11/10/99,Ath Madrid,Alaves,0.0,0.0,D,,,,,,,,,,,,,
primera,12/10/99,Malaga,Ath Bilbao,1.0,1.0,D,,,,,,,,,,,,,
primera,12/10/99,Mallorca,La Coruna,0.0,0.0,D,,,,,,,,,,,,,
primera,12/10/99,Sevilla,Betis,1.0,0.0,H,,,,,,,,,,,,,
primera,13/10/99,Barcelona,Real Madrid,1.0,1.0,D,,,,,,,,,,,,,
primera,13/10/99,Celta,Zaragoza,1.0,1.0,D,,,,,,,,,,,,,
primera,13/10/99,Oviedo,Valladolid,1.0,0.0,H,,,,,,,,,,,,,
primera,13/10/99,Sociedad,Santander,1.0,0.0,H,,,,,,,,,,,,,
primera,13/10/99,Valencia,Numancia,1.0,0.0,H,,,,,,,,,,,,,
primera,13/10/99,Vallecano,Espanol,0.0,0.0,D,,,,,,,,,,,,,
primera,16/10/99,Ath Bilbao,Valencia,1.0,0.0,H,,,,,,,,,,,,,
primera,16/10/99,La Coruna,Malaga,1.0,1.0,D,,,,,,,,,,,,,
primera,16/10/99,Numancia,Barcelona,0.0,1.0,A,,,,,,,,,,,,,
primera,16/10/99,Real Madrid,Oviedo,2.0,1.0,H,,,,,,,,,,,,,
primera,16/10/99,Santander,Celta,3.0,0.0,H,,,,,,,,,,,,,
primera,17/10/99,Alaves,Vallecano,0.0,0.0,D,,,,,,,,,,,,,
primera,17/10/99,Betis,Ath Madrid,1.0,1.0,D,,,,,,,,,,,,,
primera,17/10/99,Espanol,Sociedad,0.0,0.0,D,,,,,,,,,,,,,
primera,17/10/99,Valladolid,Sevilla,1.0,1.0,D,,,,,,,,,,,,,
primera,17/10/99,Zaragoza,Mallorca,0.0,0.0,D,,,,,,,,,,,,,
primera,23/10/99,Barcelona,Ath Bilbao,1.0,0.0,H,,,,,,,,,,,,,
primera,23/10/99,Sevilla,Real Madrid,1.0,0.0,H,,,,,,,,,,,,,
primera,23/10/99,Valencia,La Coruna,1.0,0.0,H,,,,,,,,,,,,,
primera,24/10/99,Ath Madrid,Valladolid,1.0,0.0,H,,,,,,,,,,,,,
primera,24/10/99,Celta,Espanol,1.0,1.0,D,,,,,,,,,,,,,
primera,24/10/99,Mallorca,Malaga,2.0,0.0,H,,,,,,,,,,,,,
primera,24/10/99,Oviedo,Numancia,0.0,0.0,D,,,,,,,,,,,,,
primera,24/10/99,Sociedad,Alaves,1.0,1.0,D,,,,,,,,,,,,,
primera,24/10/99,Vallecano,Betis,0.0,0.0,D,,,,,,,,,,,,,
primera,24/10/99,Zaragoza,Santander,1.0,0.0,H,,,,,,,,,,,,,
primera,30/10/99,La Coruna,Barcelona,2.0,0.0,H,,,,,,,,,,,,,
primera,30/10/99,Malaga,Valencia,1.0,0.0,H,,,,,,,,,,,,,
primera,30/10/99,Real Madrid,Ath Madrid,1.0,3.0,A,,,,,,,,,,,,,
primera,31/10/99,Alaves,Celta,0.0,0.0,D,,,,,,,,,,,,,
primera,31/10/99,Ath Bilbao,Oviedo,1.0,1.0,D,,,,,,,,,,,,,
primera,31/10/99,Betis,Sociedad,1.0,0.0,H,,,,,,,,,,,,,
primera,31/10/99,Espanol,Zaragoza,0.0,1.0,A,,,,,,,,,,,,,
primera,31/10/99,Numancia,Sevilla,1.0,0.0,H,,,,,,,,,,,,,
primera,31/10/99,Santander,Mallorca,0.0,0.0,D,,,,,,,,,,,,,
primera,31/10/99,Valladolid,Vallecano,0.0,1.0,A,,,,,,,,,,,,,
primera,06/11/99,Vallecano,Real Madrid,2.0,0.0,H,,,,,,,,,,,,,
primera,07/11/99,Ath Madrid,Numancia,2.0,0.0,H,,,,,,,,,,,,,
primera,07/11/99,Barcelona,Malaga,1.0,2.0,A,,,,,,,,,,,,,
primera,07/11/99,Celta,Betis,3.0,1.0,H,,,,,,,,,,,,,
primera,07/11/99,Mallorca,Valencia,0.0,0.0,D,,,,,,,,,,,,,
primera,07/11/99,Oviedo,La Coruna,0.0,0.0,D,,,,,,,,,,,,,
