Div,Date,HomeTeam,AwayTeam,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Time
primera,1999-08-21,Ath Bilbao,Betis,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-08-21,Mallorca,Real Madrid,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-08-21,Valencia,Santander,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-08-22,Ath Madrid,Vallecano,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-08-22,Barcelona,Zaragoza,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-08-22,La Coruna,Alaves,3.0,1.0,H,,,,,,,,,,,,,
primera,1999-08-22,Malaga,Espanol,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-08-22,Numancia,Valladolid,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-08-22,Oviedo,Celta,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-08-22,Sevilla,Sociedad,2.0,1.0,H,,,,,,,,,,,,,
primera,1999-08-28,Sociedad,Ath Madrid,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-08-29,Alaves,Malaga,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-08-29,Betis,La Coruna,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-08-29,Celta,Sevilla,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-08-29,Espanol,Valencia,2.0,0.0,H,,,,,,,,,,,,,
primera,1999-08-29,Real Madrid,Numancia,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-08-29,Santander,Barcelona,0.0,2.0,A,,,,,,,,,,,,,
primera,1999-08-29,Valladolid,Ath Bilbao,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-08-29,Vallecano,Mallorca,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-08-29,Zaragoza,Oviedo,2.0,0.0,H,,,,,,,,,,,,,
primera,1999-09-11,Barcelona,Espanol,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-09-11,La Coruna,Valladolid,2.0,0.0,H,,,,,,,,,,,,,
primera,1999-09-11,Valencia,Alaves,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-09-12,Ath Bilbao,Real Madrid,2.0,1.0,H,,,,,,,,,,,,,
primera,1999-09-12,Ath Madrid,Celta,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-09-12,Malaga,Betis,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-09-12,Mallorca,Numancia,3.0,0.0,H,,,,,,,,,,,,,
primera,1999-09-12,Oviedo,Santander,0.0,2.0,A,,,,,,,,,,,,,
primera,1999-09-12,Sevilla,Zaragoza,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-09-12,Vallecano,Sociedad,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-09-18,Alaves,Barcelona,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-09-18,Betis,Valencia,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-09-18,Espanol,Oviedo,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-09-18,Real Madrid,La Coruna,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-09-18,Valladolid,Malaga,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-09-19,Celta,Vallecano,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-09-19,Numancia,Ath Bilbao,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-09-19,Santander,Sevilla,1.0,2.0,A,,,,,,,,,,,,,
primera,1999-09-19,Sociedad,Mallorca,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-09-19,Zaragoza,Ath Madrid,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-09-25,Barcelona,Betis,2.0,1.0,H,,,,,,,,,,,,,
primera,1999-09-25,Malaga,Real Madrid,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-09-25,Sociedad,Celta,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-09-25,Valencia,Valladolid,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-09-26,Ath Madrid,Santander,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-09-26,La Coruna,Numancia,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-09-26,Mallorca,Ath Bilbao,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-09-26,Oviedo,Alaves,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-09-26,Sevilla,Espanol,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-09-26,Vallecano,Zaragoza,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-10-02,Numancia,Malaga,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-10-02,Valladolid,Barcelona,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-10-03,Alaves,Sevilla,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-10-03,Ath Bilbao,La Coruna,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-10-03,Betis,Oviedo,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-10-03,Celta,Mallorca,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-10-03,Espanol,Ath Madrid,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-10-03,Real Madrid,Valencia,0.0,3.0,A,,,,,,,,,,,,,
primera,1999-10-03,Santander,Vallecano,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-10-03,Zaragoza,Sociedad,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-10-11,Ath Madrid,Alaves,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-10-12,Malaga,Ath Bilbao,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-10-12,Mallorca,La Coruna,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-10-12,Sevilla,Betis,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-10-13,Barcelona,Real Madrid,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-10-13,Celta,Zaragoza,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-10-13,Oviedo,Valladolid,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-10-13,Sociedad,Santander,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-10-13,Valencia,Numancia,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-10-13,Vallecano,Espanol,0.0,0.0,D,,,,,,,,,,,,,
primera,1999-10-16,Ath Bilbao,Valencia,1.0,0.0,H,,,,,,,,,,,,,
primera,1999-10-16,La Coruna,Malaga,1.0,1.0,D,,,,,,,,,,,,,
primera,1999-10-16,Numancia,Barcelona,0.0,1.0,A,,,,,,,,,,,,,
primera,1999-10-16,Real Madrid,Oviedo,2.0,1.0,H,,,,,,,,,,,,,
primera,1999-10-16,Santander,Celta,3.0,0.0,H,,,,,,,,,,,,,
