season,date,home,away,link,stats_link
2017-18,Sunday 20th May,Valencia,Deportivo La Coruna,https://www.skysports.com/football/valencia-vs-deportivo-la-coruna/382930,https://www.skysports.com/football/valencia-vs-deportivo-la-coruna/stats/382930
2017-18,Sunday 20th May,Athletic Bilbao,Espanyol,https://www.skysports.com/football/athletic-bilbao-vs-espanyol/382922,https://www.skysports.com/football/athletic-bilbao-vs-espanyol/stats/382922
2017-18,Sunday 20th May,Atletico Madrid,Eibar,https://www.skysports.com/football/atletico-madrid-vs-eibar/382923,https://www.skysports.com/football/atletico-madrid-vs-eibar/stats/382923
2017-18,Sunday 20th May,Barcelona,Real Sociedad,https://www.skysports.com/football/barcelona-vs-real-sociedad/382924,https://www.skysports.com/football/barcelona-vs-real-sociedad/stats/382924
2017-18,Saturday 19th May,Celta Vigo,Levante,https://www.skysports.com/football/celta-vigo-vs-levante/382925,https://www.skysports.com/football/celta-vigo-vs-levante/stats/382925
2017-18,Saturday 19th May,Leganes,Real Betis,https://www.skysports.com/football/leganes-vs-real-betis/382927,https://www.skysports.com/football/leganes-vs-real-betis/stats/382927
2017-18,Saturday 19th May,Las Palmas,Girona,https://www.skysports.com/football/las-palmas-vs-girona/382926,https://www.skysports.com/football/las-palmas-vs-girona/stats/382926
2017-18,Saturday 19th May,Malaga,Getafe,https://www.skysports.com/football/malaga-vs-getafe/382928,https://www.skysports.com/football/malaga-vs-getafe/stats/382928
2017-18,Saturday 19th May,Sevilla,Alaves,https://www.skysports.com/football/sevilla-vs-alaves/382929,https://www.skysports.com/football/sevilla-vs-alaves/stats/382929
2017-18,Saturday 19th May,Villarreal,Real Madrid,https://www.skysports.com/football/villarreal-vs-real-madrid/382931,https://www.skysports.com/football/villarreal-vs-real-madrid/stats/382931
2017-18,Sunday 13th May,Espanyol,Malaga,https://www.skysports.com/football/espanyol-vs-malaga/382915,https://www.skysports.com/football/espanyol-vs-malaga/stats/382915
2017-18,Sunday 13th May,Levante,Barcelona,https://www.skysports.com/football/levante-vs-barcelona/382918,https://www.skysports.com/football/levante-vs-barcelona/stats/382918
2017-18,Saturday 12th May,Real Sociedad,Leganes,https://www.skysports.com/football/real-sociedad-vs-leganes/382921,https://www.skysports.com/football/real-sociedad-vs-leganes/stats/382921
2017-18,Saturday 12th May,Alaves,Athletic Bilbao,https://www.skysports.com/football/alaves-vs-athletic-bilbao/382912,https://www.skysports.com/football/alaves-vs-athletic-bilbao/stats/382912
2017-18,Saturday 12th May,Deportivo La Coruna,Villarreal,https://www.skysports.com/football/deportivo-la-coruna-vs-villarreal/382913,https://www.skysports.com/football/deportivo-la-coruna-vs-villarreal/stats/382913
2017-18,Saturday 12th May,Eibar,Las Palmas,https://www.skysports.com/football/eibar-vs-las-palmas/382914,https://www.skysports.com/football/eibar-vs-las-palmas/stats/382914
2017-18,Saturday 12th May,Getafe,Atletico Madrid,https://www.skysports.com/football/getafe-vs-atletico-madrid/382916,https://www.skysports.com/football/getafe-vs-atletico-madrid/stats/382916
2017-18,Saturday 12th May,Girona,Valencia,https://www.skysports.com/football/girona-vs-valencia/382917,https://www.skysports.com/football/girona-vs-valencia/stats/382917
2017-18,Saturday 12th May,Real Betis,Sevilla,https://www.skysports.com/football/real-betis-vs-sevilla/382919,https://www.skysports.com/football/real-betis-vs-sevilla/stats/382919
2017-18,Saturday 12th May,Real Madrid,Celta Vigo,https://www.skysports.com/football/real-madrid-vs-celta-vigo/382920,https://www.skysports.com/football/real-madrid-vs-celta-vigo/stats/382920
