season,date,home,away,home_fulltime_goals,away_fulltime_goals,fulltime_result,home_halftime_goals,away_halftime_goals,halftime_result,home_win_bet365_probs,draw_bet365_probs,away_win_bet365_probs,home_win_betandwin_probs,draw_betandwin_probs,away_win_betandwin_probs,home_win_interwetten_probs,draw_interwetten_probs,away_win_interwetten_probs,home_win_pinnaclesports_probs,draw_pinnaclesports_probs,away_win_pinnaclesports_probs,home_win_williamhill_probs,draw_williamhill_probs,away_win_williamhill_probs,home_win_vcbet_probs,draw_vcbet_probs,away_win_vcbet_probs,home_win_pinnaclesports_closing_probs,draw_pinnaclesports_closing_probs,away_win_pinnaclesports_closing_probs
2017_2018,2017-08-18,Leganes,Alaves,1,0,H,1,0,H,0.22,0.34,0.44,0.22,0.34,0.44,0.23,0.38,0.39,0.21,0.33,0.46,0.22,0.34,0.44,0.21,0.33,0.46,0.2,0.34,0.46
2017_2018,2017-08-18,Valencia,Las Palmas,1,0,H,1,0,H,0.17,0.38,0.45,0.17,0.38,0.45,0.17,0.35,0.47,0.17,0.38,0.45,0.18,0.38,0.43,0.17,0.38,0.44,0.17,0.41,0.42
2017_2018,2017-08-19,Celta,Sociedad,2,3,A,1,1,D,0.27,0.37,0.36,0.28,0.38,0.34,0.29,0.38,0.33,0.27,0.38,0.35,0.28,0.39,0.33,0.27,0.38,0.35,0.23,0.38,0.4
2017_2018,2017-08-19,Girona,Ath Madrid,2,2,D,2,0,H,0.58,0.31,0.11,0.56,0.33,0.11,0.55,0.34,0.11,0.59,0.31,0.1,0.59,0.31,0.11,0.56,0.32,0.11,0.56,0.31,0.13
2017_2018,2017-08-19,Sevilla,Espanol,1,1,D,1,1,D,0.15,0.36,0.49,0.14,0.35,0.51,0.13,0.34,0.53,0.14,0.35,0.52,0.16,0.33,0.51,0.14,0.35,0.5,0.14,0.36,0.5
2017_2018,2017-08-20,Ath Bilbao,Getafe,0,0,D,0,0,D,0.12,0.31,0.58,0.12,0.33,0.55,0.12,0.34,0.53,0.12,0.33,0.55,0.12,0.32,0.56,0.12,0.33,0.55,0.12,0.35,0.53
2017_2018,2017-08-20,Barcelona,Betis,2,0,H,2,0,H,0.05,0.33,0.62,0.05,0.32,0.63,0.05,0.32,0.63,0.05,0.31,0.64,0.06,0.3,0.64,0.06,0.33,0.61,0.05,0.33,0.62
2017_2018,2017-08-20,La Coruna,Real Madrid,0,3,A,0,2,A,0.57,0.35,0.08,0.57,0.35,0.08,0.52,0.38,0.09,0.59,0.33,0.08,0.65,0.27,0.08,0.57,0.35,0.08,0.6,0.34,0.06
2017_2018,2017-08-21,Levante,Villarreal,1,0,H,0,0,D,0.37,0.37,0.26,0.37,0.37,0.26,0.37,0.38,0.25,0.38,0.36,0.26,0.36,0.36,0.28,0.37,0.37,0.26,0.37,0.37,0.27
2017_2018,2017-08-21,Malaga,Eibar,0,1,A,0,0,D,0.23,0.36,0.41,0.24,0.37,0.39,0.23,0.38,0.39,0.25,0.37,0.38,0.25,0.37,0.37,0.24,0.37,0.39,0.24,0.35,0.41
2017_2018,2017-08-25,Betis,Celta,2,1,H,1,1,D,0.24,0.38,0.38,0.25,0.37,0.37,0.28,0.38,0.34,0.25,0.39,0.36,0.25,0.37,0.38,0.25,0.39,0.36,0.25,0.38,0.37
2017_2018,2017-08-25,Sociedad,Villarreal,3,0,H,3,0,H,0.22,0.37,0.41,0.23,0.36,0.41,0.25,0.38,0.37,0.22,0.37,0.41,0.23,0.37,0.4,0.23,0.37,0.4,0.21,0.37,0.41
2017_2018,2017-08-26,Alaves,Barcelona,0,2,A,0,0,D,0.59,0.34,0.08,0.6,0.33,0.08,0.54,0.37,0.09,0.6,0.33,0.08,0.64,0.29,0.08,0.62,0.31,0.07,0.59,0.34,0.08
2017_2018,2017-08-26,Girona,Malaga,1,0,H,1,0,H,0.24,0.36,0.4,0.24,0.35,0.41,0.25,0.38,0.37,0.24,0.36,0.4,0.25,0.37,0.37,0.23,0.36,0.41,0.21,0.35,0.44
2017_2018,2017-08-26,Las Palmas,Ath Madrid,1,5,A,0,2,A,0.46,0.37,0.17,0.47,0.36,0.17,0.47,0.35,0.17,0.48,0.35,0.17,0.45,0.36,0.18,0.46,0.36,0.17,0.49,0.35,0.16
2017_2018,2017-08-26,Levante,La Coruna,2,2,D,1,2,A,0.25,0.35,0.4,0.25,0.36,0.39,0.25,0.38,0.37,0.24,0.36,0.4,0.26,0.37,0.38,0.24,0.36,0.4,0.24,0.37,0.4
2017_2018,2017-08-27,Eibar,Ath Bilbao,0,1,A,0,1,A,0.29,0.36,0.36,0.29,0.37,0.34,0.31,0.38,0.3,0.29,0.37,0.35,0.31,0.36,0.33,0.29,0.37,0.34,0.28,0.36,0.36
2017_2018,2017-08-27,Espanol,Leganes,0,1,A,0,1,A,0.2,0.34,0.45,0.2,0.33,0.47,0.22,0.37,0.41,0.2,0.34,0.46,0.2,0.32,0.47,0.2,0.34,0.46,0.21,0.33,0.46
2017_2018,2017-08-27,Getafe,Sevilla,0,1,A,0,0,D,0.4,0.36,0.24,0.4,0.37,0.23,0.37,0.38,0.25,0.39,0.38,0.23,0.38,0.38,0.24,0.38,0.39,0.24,0.39,0.38,0.24
2017_2018,2017-08-27,Real Madrid,Valencia,2,2,D,1,1,D,0.05,0.33,0.62,0.05,0.32,0.63,0.05,0.32,0.63,0.04,0.36,0.6,0.05,0.36,0.59,0.05,0.36,0.59,0.04,0.36,0.6
2017_2018,2017-09-08,Leganes,Getafe,1,2,A,0,1,A,0.22,0.35,0.43,0.22,0.35,0.43,0.22,0.37,0.41,0.22,0.34,0.44,0.23,0.34,0.42,0.22,0.35,0.43,0.22,0.34,0.44
2017_2018,2017-09-09,Barcelona,Espanol,5,0,H,2,0,H,0.04,0.31,0.65,0.04,0.27,0.68,0.05,0.32,0.63,0.04,0.32,0.64,0.05,0.32,0.63,0.04,0.28,0.67,0.03,0.3,0.67
2017_2018,2017-09-09,Real Madrid,Levante,1,1,D,1,1,D,0.02,0.3,0.68,0.02,0.27,0.7,0.03,0.24,0.73,0.02,0.29,0.69,0.03,0.35,0.62,0.02,0.29,0.69,0.03,0.34,0.63
2017_2018,2017-09-09,Sevilla,Eibar,3,0,H,0,0,D,0.14,0.35,0.52,0.14,0.35,0.52,0.14,0.35,0.51,0.13,0.36,0.51,0.14,0.36,0.5,0.14,0.36,0.5,0.13,0.36,0.51
2017_2018,2017-09-09,Valencia,Ath Madrid,0,0,D,0,0,D,0.4,0.36,0.24,0.38,0.38,0.24,0.37,0.38,0.25,0.39,0.37,0.25,0.39,0.37,0.24,0.38,0.38,0.24,0.36,0.36,0.28
2017_2018,2017-09-10,Ath Bilbao,Girona,2,0,H,1,0,H,0.15,0.34,0.5,0.16,0.35,0.49,0.17,0.35,0.47,0.15,0.35,0.5,0.16,0.36,0.48,0.15,0.35,0.49,0.13,0.33,0.54
2017_2018,2017-09-10,Celta,Alaves,1,0,H,1,0,H,0.16,0.35,0.49,0.17,0.35,0.48,0.18,0.36,0.45,0.16,0.35,0.49,0.17,0.34,0.49,0.17,0.36,0.47,0.15,0.34,0.51
2017_2018,2017-09-10,La Coruna,Sociedad,2,4,A,1,2,A,0.32,0.38,0.3,0.32,0.38,0.3,0.31,0.38,0.3,0.32,0.39,0.29,0.33,0.38,0.29,0.32,0.39,0.3,0.34,0.39,0.26
2017_2018,2017-09-10,Villarreal,Betis,3,1,H,1,1,D,0.19,0.37,0.44,0.19,0.36,0.45,0.18,0.36,0.45,0.19,0.36,0.46,0.2,0.36,0.44,0.19,0.37,0.44,0.2,0.37,0.43
2017_2018,2017-09-11,Malaga,Las Palmas,1,3,A,0,1,A,0.22,0.38,0.41,0.22,0.38,0.41,0.2,0.37,0.43,0.22,0.38,0.4,0.22,0.38,0.4,0.22,0.39,0.39,0.21,0.37,0.42
2017_2018,2017-09-15,Eibar,Leganes,1,0,H,0,0,D,0.22,0.35,0.43,0.22,0.35,0.43,0.23,0.38,0.39,0.22,0.35,0.43,0.23,0.34,0.42,0.23,0.35,0.42,0.22,0.36,0.43
2017_2018,2017-09-16,Ath Madrid,Malaga,1,0,H,0,0,D,0.05,0.27,0.68,0.06,0.29,0.65,0.08,0.36,0.56,0.05,0.27,0.68,0.06,0.3,0.64,0.05,0.26,0.69,0.05,0.27,0.68
2017_2018,2017-09-16,Betis,La Coruna,2,1,H,1,1,D,0.18,0.36,0.45,0.19,0.37,0.45,0.19,0.36,0.45,0.19,0.37,0.45,0.19,0.35,0.45,0.19,0.37,0.44,0.17,0.37,0.45
2017_2018,2017-09-16,Getafe,Barcelona,1,2,A,1,0,H,0.59,0.35,0.07,0.62,0.32,0.06,0.56,0.36,0.08,0.62,0.32,0.06,0.61,0.33,0.06,0.61,0.33,0.06,0.59,0.34,0.06
2017_2018,2017-09-16,Levante,Valencia,1,1,D,1,1,D,0.37,0.37,0.26,0.35,0.37,0.27,0.36,0.38,0.26,0.35,0.37,0.28,0.36,0.36,0.28,0.36,0.37,0.27,0.36,0.38,0.26
2017_2018,2017-09-17,Alaves,Villarreal,0,3,A,0,1,A,0.36,0.36,0.28,0.36,0.37,0.28,0.31,0.38,0.31,0.37,0.36,0.27,0.36,0.36,0.28,0.37,0.37,0.27,0.35,0.37,0.28
2017_2018,2017-09-17,Girona,Sevilla,0,1,A,0,0,D,0.37,0.37,0.26,0.36,0.38,0.25,0.37,0.38,0.25,0.36,0.39,0.25,0.37,0.37,0.26,0.35,0.39,0.26,0.34,0.39,0.27
2017_2018,2017-09-17,Las Palmas,Ath Bilbao,1,0,H,0,0,D,0.32,0.39,0.29,0.32,0.38,0.3,0.34,0.38,0.28,0.32,0.39,0.29,0.33,0.36,0.31,0.31,0.39,0.29,0.3,0.38,0.32
2017_2018,2017-09-17,Sociedad,Real Madrid,1,3,A,1,2,A,0.47,0.37,0.16,0.45,0.4,0.16,0.47,0.38,0.15,0.45,0.39,0.15,0.46,0.38,0.16,0.43,0.41,0.16,0.44,0.42,0.14
2017_2018,2017-09-18,Espanol,Celta,2,1,H,2,0,H,0.26,0.37,0.36,0.26,0.36,0.37,0.26,0.38,0.36,0.27,0.38,0.36,0.26,0.37,0.37,0.26,0.39,0.35,0.29,0.38,0.33
2017_2018,2017-09-19,Barcelona,Eibar,6,1,H,2,0,H,0.04,0.38,0.57,0.04,0.35,0.61,0.03,0.24,0.73,0.03,0.33,0.64,0.04,0.27,0.7,0.03,0.27,0.71,0.04,0.32,0.65
2017_2018,2017-09-19,Valencia,Malaga,5,0,H,1,0,H,0.12,0.32,0.56,0.13,0.34,0.53,0.14,0.36,0.5,0.12,0.35,0.53,0.13,0.33,0.54,0.12,0.35,0.53,0.11,0.36,0.53
2017_2018,2017-09-20,Ath Bilbao,Ath Madrid,1,2,A,0,0,D,0.38,0.36,0.25,0.38,0.37,0.25,0.36,0.38,0.26,0.39,0.35,0.26,0.38,0.37,0.26,0.39,0.36,0.25,0.41,0.36,0.23
2017_2018,2017-09-20,La Coruna,Alaves,1,0,H,1,0,H,0.2,0.34,0.46,0.2,0.35,0.45,0.2,0.37,0.43,0.19,0.35,0.46,0.2,0.35,0.45,0.19,0.35,0.46,0.16,0.36,0.48
2017_2018,2017-09-20,Leganes,Girona,0,0,D,0,0,D,0.24,0.35,0.41,0.25,0.36,0.39,0.25,0.37,0.38,0.23,0.34,0.43,0.26,0.37,0.38,0.23,0.35,0.42,0.21,0.34,0.45
2017_2018,2017-09-20,Real Madrid,Betis,0,1,A,0,0,D,0.04,0.36,0.6,0.04,0.35,0.61,0.03,0.24,0.73,0.03,0.38,0.59,0.04,0.33,0.63,0.03,0.29,0.69,0.02,0.3,0.67
2017_2018,2017-09-20,Sevilla,Las Palmas,1,0,H,0,0,D,0.1,0.35,0.55,0.1,0.35,0.55,0.11,0.34,0.55,0.09,0.34,0.57,0.11,0.35,0.54,0.1,0.36,0.54,0.1,0.34,0.57
2017_2018,2017-09-21,Celta,Getafe,1,1,D,1,0,H,0.18,0.36,0.45,0.18,0.37,0.45,0.17,0.35,0.47,0.17,0.36,0.47,0.17,0.38,0.45,0.17,0.37,0.45,0.19,0.35,0.46
2017_2018,2017-09-21,Levante,Sociedad,3,0,H,1,0,H,0.37,0.37,0.26,0.35,0.37,0.27,0.34,0.38,0.28,0.34,0.39,0.27,0.34,0.38,0.28,0.33,0.4,0.27,0.32,0.39,0.29
2017_2018,2017-09-21,Villarreal,Espanol,0,0,D,0,0,D,0.16,0.33,0.51,0.17,0.35,0.48,0.16,0.36,0.48,0.16,0.35,0.48,0.17,0.34,0.49,0.17,0.36,0.47,0.15,0.34,0.51
2017_2018,2017-09-23,Alaves,Real Madrid,1,2,A,1,2,A,0.66,0.29,0.05,0.63,0.32,0.05,0.61,0.33,0.06,0.67,0.29,0.04,0.68,0.28,0.05,0.57,0.37,0.06,0.66,0.3,0.04
2017_2018,2017-09-23,Ath Madrid,Sevilla,2,0,H,0,0,D,0.13,0.33,0.54,0.13,0.33,0.54,0.15,0.38,0.47,0.12,0.34,0.54,0.15,0.35,0.5,0.14,0.35,0.51,0.14,0.31,0.55
2017_2018,2017-09-23,Girona,Barcelona,0,3,A,0,1,A,0.62,0.31,0.06,0.62,0.32,0.06,0.66,0.29,0.05,0.62,0.32,0.06,0.64,0.29,0.07,0.61,0.33,0.06,0.62,0.32,0.06
2017_2018,2017-09-23,Malaga,Ath Bilbao,3,3,D,1,1,D,0.34,0.38,0.28,0.34,0.38,0.28,0.37,0.38,0.25,0.34,0.37,0.29,0.34,0.37,0.29,0.34,0.37,0.29,0.38,0.36,0.26
2017_2018,2017-09-24,Eibar,Celta,0,4,A,0,3,A,0.25,0.37,0.38,0.25,0.37,0.37,0.26,0.38,0.36,0.25,0.38,0.38,0.25,0.37,0.37,0.25,0.38,0.37,0.25,0.38,0.37
2017_2018,2017-09-24,Espanol,La Coruna,4,1,H,2,0,H,0.21,0.37,0.42,0.21,0.37,0.42,0.22,0.37,0.41,0.2,0.36,0.44,0.22,0.37,0.41,0.21,0.36,0.43,0.2,0.37,0.44
2017_2018,2017-09-24,Getafe,Villarreal,4,0,H,0,0,D,0.33,0.36,0.31,0.33,0.37,0.3,0.34,0.38,0.28,0.34,0.36,0.3,0.33,0.36,0.31,0.33,0.37,0.3,0.29,0.36,0.36
2017_2018,2017-09-24,Las Palmas,Leganes,0,2,A,0,0,D,0.23,0.36,0.42,0.23,0.36,0.41,0.22,0.37,0.41,0.22,0.35,0.42,0.23,0.35,0.41,0.23,0.36,0.41,0.28,0.35,0.37
2017_2018,2017-09-24,Sociedad,Valencia,2,3,A,1,1,D,0.26,0.39,0.35,0.25,0.4,0.35,0.25,0.38,0.37,0.25,0.39,0.36,0.26,0.4,0.34,0.25,0.41,0.34,0.28,0.4,0.32
2017_2018,2017-09-25,Betis,Levante,4,0,H,0,0,D,0.19,0.36,0.46,0.18,0.35,0.47,0.2,0.37,0.43,0.17,0.34,0.49,0.18,0.37,0.45,0.18,0.36,0.46,0.18,0.36,0.46
2017_2018,2017-09-29,Celta,Girona,3,3,D,2,2,D,0.15,0.33,0.52,0.16,0.34,0.5,0.15,0.35,0.49,0.16,0.34,0.5,0.17,0.35,0.48,0.16,0.35,0.49,0.17,0.35,0.48
2017_2018,2017-09-30,La Coruna,Getafe,2,1,H,0,0,D,0.25,0.37,0.38,0.25,0.38,0.38,0.26,0.38,0.36,0.25,0.38,0.38,0.26,0.38,0.37,0.26,0.38,0.37,0.28,0.38,0.34
2017_2018,2017-09-30,Leganes,Ath Madrid,0,0,D,0,0,D,0.59,0.29,0.12,0.59,0.29,0.12,0.53,0.34,0.12,0.57,0.3,0.13,0.58,0.28,0.13,0.57,0.3,0.13,0.55,0.3,0.14
2017_2018,2017-09-30,Levante,Alaves,0,2,A,0,1,A,0.19,0.36,0.46,0.17,0.36,0.47,0.17,0.35,0.47,0.19,0.35,0.46,0.17,0.35,0.47,0.19,0.36,0.46,0.18,0.34,0.48
2017_2018,2017-09-30,Sevilla,Malaga,2,0,H,0,0,D,0.09,0.38,0.52,0.09,0.31,0.6,0.09,0.36,0.55,0.08,0.34,0.58,0.09,0.33,0.59,0.09,0.35,0.56,0.1,0.33,0.57
2017_2018,2017-10-01,Barcelona,Las Palmas,3,0,H,0,0,D,0.03,0.29,0.68,0.03,0.32,0.65,0.03,0.31,0.67,0.02,0.33,0.65,0.03,0.33,0.64,0.02,0.33,0.64,0.03,0.36,0.61
2017_2018,2017-10-01,Real Madrid,Espanol,2,0,H,1,0,H,0.03,0.29,0.67,0.04,0.32,0.65,0.03,0.24,0.73,0.03,0.38,0.59,0.03,0.33,0.63,0.03,0.33,0.63,0.03,0.35,0.62
2017_2018,2017-10-01,Sociedad,Betis,4,4,D,2,2,D,0.21,0.39,0.41,0.2,0.38,0.42,0.2,0.37,0.43,0.2,0.39,0.42,0.21,0.4,0.39,0.2,0.4,0.4,0.19,0.38,0.43
2017_2018,2017-10-01,Valencia,Ath Bilbao,3,2,H,2,0,H,0.2,0.36,0.44,0.19,0.37,0.44,0.17,0.35,0.47,0.19,0.38,0.43,0.19,0.37,0.44,0.2,0.38,0.42,0.17,0.34,0.48
2017_2018,2017-10-01,Villarreal,Eibar,3,0,H,1,0,H,0.19,0.37,0.44,0.17,0.36,0.47,0.18,0.36,0.45,0.18,0.36,0.46,0.19,0.36,0.45,0.19,0.37,0.45,0.16,0.35,0.49
2017_2018,2017-10-13,Espanol,Levante,0,0,D,0,0,D,0.17,0.35,0.48,0.17,0.35,0.48,0.2,0.37,0.43,0.17,0.35,0.48,0.17,0.36,0.47,0.17,0.35,0.48,0.15,0.34,0.51
2017_2018,2017-10-14,Alaves,Sociedad,0,2,A,0,0,D,0.39,0.38,0.24,0.38,0.37,0.25,0.34,0.38,0.28,0.38,0.38,0.24,0.37,0.38,0.24,0.38,0.38,0.24,,,
2017_2018,2017-10-14,Ath Bilbao,Sevilla,1,0,H,1,0,H,0.29,0.38,0.34,0.29,0.38,0.33,0.29,0.38,0.33,0.28,0.37,0.34,0.28,0.38,0.33,0.28,0.38,0.34,0.28,0.38,0.34
2017_2018,2017-10-14,Ath Madrid,Barcelona,1,1,D,1,0,H,0.34,0.39,0.27,0.34,0.39,0.27,0.34,0.38,0.28,0.33,0.39,0.28,0.33,0.39,0.27,0.34,0.39,0.27,0.35,0.38,0.27
2017_2018,2017-10-14,Getafe,Real Madrid,1,2,A,0,1,A,0.59,0.34,0.08,0.58,0.35,0.07,0.6,0.33,0.07,0.57,0.35,0.08,0.6,0.33,0.08,0.58,0.35,0.08,0.56,0.36,0.08
2017_2018,2017-10-15,Betis,Valencia,3,6,A,0,2,A,0.29,0.4,0.31,0.3,0.39,0.31,0.31,0.38,0.31,0.3,0.4,0.3,0.29,0.41,0.3,0.29,0.41,0.3,0.31,0.4,0.29
2017_2018,2017-10-15,Eibar,La Coruna,0,0,D,0,0,D,0.22,0.38,0.41,0.22,0.37,0.4,0.23,0.38,0.39,0.21,0.38,0.41,0.22,0.37,0.41,0.21,0.38,0.41,0.19,0.35,0.46
2017_2018,2017-10-15,Girona,Villarreal,1,2,A,1,2,A,0.33,0.37,0.3,0.32,0.37,0.31,0.31,0.38,0.31,0.33,0.36,0.31,0.32,0.37,0.31,0.33,0.37,0.31,0.3,0.39,0.32
2017_2018,2017-10-15,Malaga,Leganes,0,2,A,0,0,D,0.27,0.34,0.39,0.25,0.37,0.38,0.28,0.38,0.34,0.26,0.35,0.39,0.26,0.37,0.37,0.27,0.36,0.37,0.28,0.35,0.37
2017_2018,2017-10-16,Las Palmas,Celta,2,5,A,0,2,A,0.27,0.38,0.35,0.28,0.38,0.34,0.29,0.38,0.33,0.27,0.38,0.34,0.28,0.4,0.32,0.28,0.39,0.33,0.3,0.39,0.31
2017_2018,2017-10-21,Barcelona,Malaga,2,0,H,1,0,H,0.03,0.32,0.65,0.02,0.27,0.71,0.03,0.31,0.67,0.02,0.39,0.58,0.03,0.29,0.68,0.03,0.3,0.67,0.02,0.32,0.66
2017_2018,2017-10-21,Betis,Alaves,2,0,H,1,0,H,0.14,0.35,0.52,0.14,0.36,0.5,0.15,0.35,0.49,0.13,0.35,0.52,0.14,0.33,0.53,0.14,0.36,0.51,0.13,0.34,0.52
2017_2018,2017-10-21,Levante,Getafe,1,1,D,0,0,D,0.27,0.36,0.36,0.27,0.37,0.35,0.28,0.38,0.34,0.27,0.35,0.37,0.28,0.36,0.36,0.28,0.36,0.36,0.3,0.36,0.34
2017_2018,2017-10-21,Valencia,Sevilla,4,0,H,1,0,H,0.19,0.4,0.41,0.19,0.39,0.42,0.19,0.36,0.45,0.2,0.4,0.4,0.21,0.38,0.41,0.2,0.39,0.4,0.23,0.41,0.35
2017_2018,2017-10-22,Celta,Ath Madrid,0,1,A,0,1,A,0.44,0.36,0.2,0.46,0.35,0.19,0.43,0.37,0.2,0.44,0.36,0.2,0.43,0.36,0.21,0.44,0.35,0.21,0.41,0.36,0.23
2017_2018,2017-10-22,Leganes,Ath Bilbao,1,0,H,0,0,D,0.27,0.35,0.38,0.29,0.35,0.36,0.29,0.38,0.33,0.27,0.35,0.38,0.29,0.36,0.34,0.27,0.36,0.37,0.31,0.34,0.35
2017_2018,2017-10-22,Real Madrid,Eibar,3,0,H,2,0,H,0.03,0.31,0.66,0.03,0.34,0.63,0.03,0.24,0.73,0.03,0.35,0.62,0.04,0.36,0.6,0.03,0.37,0.6,0.03,0.31,0.66
2017_2018,2017-10-22,Villarreal,Las Palmas,4,0,H,0,0,D,0.12,0.33,0.55,0.13,0.35,0.52,0.13,0.34,0.53,0.12,0.35,0.53,0.13,0.35,0.52,0.12,0.35,0.52,0.13,0.37,0.5
2017_2018,2017-10-23,La Coruna,Girona,1,2,A,0,1,A,0.22,0.36,0.42,0.22,0.35,0.43,0.2,0.37,0.43,0.22,0.36,0.42,0.23,0.36,0.42,0.22,0.38,0.4,0.22,0.38,0.4
2017_2018,2017-10-23,Sociedad,Espanol,1,1,D,0,1,A,0.19,0.39,0.41,0.18,0.37,0.45,0.18,0.36,0.45,0.18,0.37,0.44,0.19,0.36,0.45,0.18,0.38,0.43,0.15,0.37,0.49
2017_2018,2017-10-28,Alaves,Valencia,1,2,A,0,1,A,0.53,0.33,0.14,0.49,0.36,0.15,0.51,0.35,0.14,0.51,0.35,0.14,0.5,0.35,0.15,0.5,0.36,0.14,0.48,0.37,0.15
2017_2018,2017-10-28,Ath Bilbao,Barcelona,0,2,A,0,1,A,0.54,0.35,0.11,0.52,0.37,0.12,0.53,0.34,0.12,0.55,0.35,0.1,0.54,0.35,0.11,0.52,0.37,0.11,0.54,0.36,0.1
2017_2018,2017-10-28,Ath Madrid,Villarreal,1,1,D,0,0,D,0.12,0.31,0.58,0.12,0.33,0.55,0.12,0.34,0.53,0.12,0.32,0.56,0.12,0.31,0.57,0.13,0.34,0.53,0.14,0.34,0.52
2017_2018,2017-10-28,Sevilla,Leganes,2,1,H,1,0,H,0.14,0.33,0.53,0.14,0.34,0.52,0.14,0.36,0.5,0.12,0.3,0.57,0.14,0.32,0.53,0.14,0.34,0.53,0.15,0.35,0.5
2017_2018,2017-10-29,Eibar,Levante,2,2,D,0,2,A,0.2,0.36,0.44,0.21,0.35,0.44,0.23,0.38,0.39,0.2,0.35,0.45,0.2,0.36,0.44,0.2,0.36,0.44,0.21,0.34,0.45
