draw_bet365_probs,season,fulltime_result,date,is_home,team,team_fulltime_goals,team_halftime_goals,team_win_bet365_probs,team_pre_rating,team_possession,team_total_shots,team_shots_on_target,team_shots_off_target,team_blocked,team_passing_percent,team_clear_cut_chances,team_corners,team_offsides,team_tackles_percent,team_aerial_duels,team_saves,team_fouls_committed,team_fouls_won,team_yellow_cards,team_red_cards,team_xg,opponent_fulltime_goals,opponent_halftime_goals,opponent_win_bet365_probs,opponent_pre_rating,opponent_possession,opponent_total_shots,opponent_shots_on_target,opponent_shots_off_target,opponent_blocked,opponent_passing_percent,opponent_clear_cut_chances,opponent_corners,opponent_offsides,opponent_tackles_percent,opponent_aerial_duels,opponent_saves,opponent_fouls_committed,opponent_fouls_won,opponent_yellow_cards,opponent_red_cards,opponent_xg,fd_team_fulltime_goals,fd_team_halftime_goals,fd_team_win_bet365_probs,fd_team_pre_rating,fd_team_possession,fd_team_total_shots,fd_team_shots_on_target,fd_team_shots_off_target,fd_team_blocked,fd_team_passing_percent,fd_team_clear_cut_chances,fd_team_corners,fd_team_offsides,fd_team_tackles_percent,fd_team_aerial_duels,fd_team_saves,fd_team_fouls_committed,fd_team_fouls_won,fd_team_yellow_cards,fd_team_red_cards,fd_team_xg,fd_draw_bet365_probs,fd_opponent_fulltime_goals,fd_opponent_halftime_goals,fd_opponent_win_bet365_probs,fd_opponent_pre_rating,fd_opponent_possession,fd_opponent_total_shots,fd_opponent_shots_on_target,fd_opponent_shots_off_target,fd_opponent_blocked,fd_opponent_passing_percent,fd_opponent_clear_cut_chances,fd_opponent_corners,fd_opponent_offsides,fd_opponent_tackles_percent,fd_opponent_aerial_duels,fd_opponent_saves,fd_opponent_fouls_committed,fd_opponent_fouls_won,fd_opponent_yellow_cards,fd_opponent_red_cards,fd_opponent_xg
0.35,2017_2018,0,2017-09-08,1,Leganes,1,1,0.22,1856,40,12,8,3,1,69,0,1,4,52,59,1,14,10,3,0,1.6,0,0,0.43,1838,43,15,3,8,4,65,3,7,3,73,56,2,20,10,0,0,0.4,0,0,0.23,11,-12,-2,5,-3,-4,1,-1,-3,1,-13,-7,-4,-3,-6,3,0,-0.10000000000000009,0.0,0,0,-0.17999999999999994,7,7,7,1,4,2,3,3,1,2,11,24,0,5,-5,-3,-1,1.3
0.3,2017_2018,1,2017-09-09,1,Real Madrid,2,1,0.02,2406,65,22,6,12,4,90,5,13,3,70,34,1,12,12,3,0,3.1,2,1,0.68,1866,57,24,5,13,6,84,2,6,0,81,62,2,11,10,1,1,0.7,-1,-1,-0.03,2,-2,6,-2,8,0,1,3,9,1,0,-12,-4,0,-4,2,-1,1.1,-0.019999999999999962,1,1,-0.12,13,15,10,2,6,2,7,2,-5,-2,-18,17,1,-7,-4,0,1,1.0
0.35,2017_2018,2,2017-09-09,1,Sevilla,1,0,0.14,2070,56,6,3,3,0,77,2,5,3,68,44,3,10,20,1,0,3.0,0,0,0.52,1953,56,14,5,4,5,73,1,4,2,58,54,3,14,11,1,1,0.8,0,-1,0.09,-14,-5,-3,-1,-1,-1,-5,0,-2,-3,20,-17,-2,-4,8,-1,-1,-1.2,0.0,-1,0,-0.12,12,11,1,-1,0,2,1,-1,-3,-3,-6,-8,-1,-1,-4,-2,1,-0.19999999999999996
0.36,2017_2018,1,2017-09-09,1,Valencia,2,1,0.4,1951,34,7,3,2,2,78,1,4,3,50,65,4,12,12,5,0,0.5,5,2,0.24,2226,37,8,6,2,0,80,0,2,0,60,81,3,9,10,1,0,0.6,1,0,0.44999999999999996,5,-13,-15,-3,-8,-4,-3,1,-1,1,-6,15,0,-13,-1,2,0,-0.4999999999999999,-0.04999999999999999,3,2,0.06000000000000001,-7,-9,-1,3,-2,-2,2,-2,2,-2,4,26,-1,-6,-5,-3,-1,-0.29999999999999993
0.34,2017_2018,2,2017-09-10,1,Athletic Bilbao,1,1,0.15,2063,43,9,4,3,2,67,3,3,5,70,45,5,11,13,1,0,1.6,1,1,0.5,1816,44,15,4,7,4,79,2,2,3,55,75,2,11,15,3,0,0.4,1,1,0.24,-4,-20,-4,2,-5,-1,-12,1,-4,4,-2,-22,3,-5,-1,0,0,-0.09999999999999987,0.04999999999999999,-1,-1,-0.33999999999999997,7,-8,2,-2,0,4,-4,-1,-4,3,-3,30,1,-4,1,1,0,-0.8000000000000003
0.35,2017_2018,2,2017-09-10,1,Celta Vigo,1,1,0.16,1940,54,9,1,7,1,83,0,6,2,58,51,1,9,13,2,0,2.7,0,0,0.49,1950,26,11,2,3,6,73,1,1,1,72,57,9,12,9,2,0,0.5,-1,0,0.10999999999999999,-11,1,-7,-4,3,-6,1,-3,1,-1,3,5,-2,-3,3,-1,0,-1.5,0.010000000000000009,0,0,0.14999999999999997,-11,-20,2,-3,0,5,5,1,-1,1,3,23,7,-5,-8,1,0,-0.20000000000000007
0.38,2017_2018,0,2017-09-10,1,Deportivo La Coruna,2,2,0.32,1867,42,11,4,5,2,78,0,5,7,68,37,3,12,10,2,0,1.0,3,3,0.3,2034,60,15,9,4,2,87,3,10,2,63,55,1,12,21,2,0,2.0,2,2,-0.16999999999999993,-2,10,-1,-2,0,1,0,-1,1,5,5,-15,-2,-4,-2,-3,0,-0.8999999999999999,0.0,0,2,-0.13999999999999999,11,13,2,3,-2,1,6,2,6,1,-1,1,-2,1,10,1,0,-0.10000000000000009
0.37,2017_2018,2,2017-09-10,1,Villarreal,0,0,0.19,2022,39,6,1,3,2,78,0,4,2,75,44,6,22,11,2,0,1.5,2,1,0.44,1865,45,10,3,7,0,82,3,4,1,66,48,1,13,8,2,0,0.9,0,0,0.14999999999999997,-13,-19,-2,0,1,-3,-3,0,-2,1,12,-10,4,8,-6,-1,0,-0.3,0.0,2,1,-0.38,-1,6,7,3,5,-1,-1,3,4,0,16,-14,0,-2,-8,1,0,1.5
0.38,2017_2018,0,2017-09-11,1,Malaga,0,0,0.22,1913,55,7,2,3,2,82,0,3,1,78,24,3,15,10,4,0,1.0,1,0,0.41,1844,62,11,4,5,2,88,1,4,2,68,18,1,11,8,4,0,2.0,0,0,0.17,-12,0,-3,-2,0,-1,5,-2,0,-1,25,-13,-2,-1,-2,2,0,-0.5,0.0,1,0,0.010000000000000009,-5,9,6,0,4,2,4,1,2,1,15,-31,-4,-2,-16,2,-1,1.2
0.35,2017_2018,2,2017-09-15,1,Eibar,0,0,0.22,1945,40,7,2,2,3,67,1,5,2,55,54,3,18,11,1,0,0.5,1,0,0.43,1843,61,11,7,4,0,73,0,2,0,72,56,1,14,19,1,0,0.3,0,0,0.23000000000000004,-10,-16,-7,-3,-2,-2,-6,0,1,0,-3,0,0,4,0,0,-1,-0.3999999999999999,-0.010000000000000009,0,-1,-0.23,16,20,-1,-1,1,-1,3,0,1,-4,20,-2,0,0,9,-2,0,0.40000000000000013
