date,home,home_pre_rating,home_rating_delta,home_post_rating,away,away_pre_rating,away_rating_delta,away_post_rating
2018-05-20,FC Barcelona,2307,+2,2309,Real Sociedad,1981,-2,1979
2018-05-20,Atlético Madrid,2194,-7,2187,SD Eibar,1957,+7,1964
2018-05-20,Athletic Bilbao,1950,-12,1938,Espanyol Barcelona,1970,+12,1982
2018-05-20,Valencia CF,2048,+3,2051,Deportivo La Coruña,1817,-3,1814
2018-05-19,Villarreal CF,2002,+6,2008,Real Madrid,2324,-6,2318
2018-05-19,Sevilla FC,2044,+5,2049,CD Alavés,1974,-5,1969
2018-05-19,Celta Vigo,1974,+10,1984,Levante UD,1946,-10,1936
2018-05-19,CD Leganés,1863,+10,1873,Real Betis,1974,-10,1964
2018-05-19,Málaga CF,1792,-9,1783,Getafe CF,1933,+9,1942
2018-05-19,UD Las Palmas,1763,-10,1753,Girona FC,1872,+10,1882
2018-05-13,Levante UD,1929,+17,1946,FC Barcelona,2324,-17,2307
2018-05-13,Espanyol Barcelona,1964,+6,1970,Málaga CF,1798,-6,1792
2018-05-12,Real Madrid,2321,+3,2324,Celta Vigo,1977,-3,1974
2018-05-12,Getafe CF,1939,-6,1933,Atlético Madrid,2175,+6,2181
2018-05-12,Real Betis,1975,-1,1974,Sevilla FC,2043,+1,2044
2018-05-12,CD Alavés,1963,+11,1974,Athletic Bilbao,1961,-11,1950
2018-05-12,Girona FC,1880,-8,1872,Valencia CF,2040,+8,2048
2018-05-12,Real Sociedad,1976,+5,1981,CD Leganés,1868,-5,1863
2018-05-12,Deportivo La Coruña,1829,-12,1817,Villarreal CF,1990,+12,2002
2018-05-12,SD Eibar,1954,+3,1957,UD Las Palmas,1766,-3,1763
2018-05-09,Sevilla FC,2028,+15,2043,Real Madrid,2336,-15,2321
2018-05-09,FC Barcelona,2321,+3,2324,Villarreal CF,1993,-3,1990
2018-05-07,CD Leganés,1890,-22,1868,Levante UD,1907,+22,1929
2018-05-06,FC Barcelona,2324,-3,2321,Real Madrid,2333,+3,2336
2018-05-06,Atlético Madrid,2202,-27,2175,Espanyol Barcelona,1937,+27,1964
2018-05-06,Málaga CF,1814,-16,1798,CD Alavés,1947,+16,1963
2018-05-06,UD Las Palmas,1774,-8,1766,Getafe CF,1931,+8,1939
2018-05-05,Villarreal CF,1984,+9,1993,Valencia CF,2049,-9,2040
2018-05-05,Athletic Bilbao,1949,+12,1961,Real Betis,1987,-12,1975
2018-05-05,Girona FC,1901,-21,1880,SD Eibar,1933,+21,1954
2018-05-05,Celta Vigo,1983,-6,1977,Deportivo La Coruña,1823,+6,1829
2018-05-04,Sevilla FC,2022,+6,2028,Real Sociedad,1982,-6,1976
2018-04-30,Real Betis,1983,+4,1987,Málaga CF,1818,-4,1814
2018-04-29,Deportivo La Coruña,1826,-3,1823,FC Barcelona,2321,+3,2324
2018-04-29,CD Alavés,1953,-6,1947,Atlético Madrid,2190,+6,2196
2018-04-29,Valencia CF,2055,-6,2049,SD Eibar,1927,+6,1933
2018-04-29,Getafe CF,1935,-4,1931,Girona FC,1897,+4,1901
2018-04-28,Real Madrid,2337,+1,2338,CD Leganés,1891,-1,1890
2018-04-28,Villarreal CF,1970,+14,1984,Celta Vigo,1997,-14,1983
2018-04-28,Real Sociedad,1972,+10,1982,Athletic Bilbao,1959,-10,1949
2018-04-28,Espanyol Barcelona,1944,-7,1937,UD Las Palmas,1767,+7,1774
2018-04-27,Levante UD,1896,+11,1907,Sevilla FC,2033,-11,2022
2018-04-23,Athletic Bilbao,1982,-23,1959,Levante UD,1873,+23,1896
2018-04-22,Atlético Madrid,2197,-7,2190,Real Betis,1976,+7,1983
2018-04-22,Girona FC,1916,-19,1897,Espanyol Barcelona,1925,+19,1944
2018-04-22,Málaga CF,1799,+19,1818,Real Sociedad,1991,-19,1972
2018-04-22,UD Las Palmas,1783,-16,1767,CD Alavés,1937,+16,1953
2018-04-21,Celta Vigo,1998,-1,1997,Valencia CF,2054,+1,2055
2018-04-21,SD Eibar,1940,-13,1927,Getafe CF,1922,+13,1935
2018-04-20,CD Leganés,1896,-5,1891,Deportivo La Coruña,1821,+5,1826
2018-04-19,Real Sociedad,1966,+25,1991,Atlético Madrid,2222,-25,2197
2018-04-19,CD Alavés,1951,-14,1937,Girona FC,1902,+14,1916
2018-04-19,Real Betis,1973,+3,1976,UD Las Palmas,1786,-3,1783
2018-04-19,Levante UD,1867,+6,1873,Málaga CF,1805,-6,1799
2018-04-18,Real Madrid,2326,-9,2317,Athletic Bilbao,1973,+9,1982
