date,home,home_pre_rating,home_rating_delta,home_post_rating,away,away_pre_rating,away_rating_delta,away_post_rating
2000-05-20,Málaga CF,1915,-3,1912,Racing Santander,1901,3,1904
2000-05-20,Real Oviedo,1890,-12,1878,Real Sociedad,1914,12,1926
2000-05-20,CD Numancia,1859,-13,1846,Real Betis,1834,13,1847
2000-05-19,Valencia CF,2104,5,2109,Real Zaragoza,2032,-5,2027
2000-05-19,FC Barcelona,2074,-6,2068,Celta Vigo,1951,6,1957
2000-05-19,Real Madrid,2071,-17,2054,Real Valladolid,1900,17,1917
2000-05-19,Deportivo La Coruña,1998,9,2007,Espanyol Barcelona,1958,-9,1949
2000-05-19,Athletic Bilbao,1918,8,1926,CD Alavés,1950,-8,1942
2000-05-19,RCD Mallorca,1963,-15,1948,Atlético Madrid,1869,15,1884
2000-05-19,Sevilla FC,1767,-9,1758,Rayo Vallecano,1895,9,1904
2000-05-14,Celta Vigo,1949,2,1951,Valencia CF,2106,-2,2104
2000-05-14,Real Sociedad,1912,2,1914,FC Barcelona,2076,-2,2074
2000-05-14,Real Zaragoza,2027,5,2032,Málaga CF,1920,-5,1915
2000-05-14,Real Betis,1844,-10,1834,Real Madrid,2061,10,2071
2000-05-14,Racing Santander,1901,0,1901,Deportivo La Coruña,1998,0,1998
2000-05-14,Espanyol Barcelona,1962,-4,1958,Athletic Bilbao,1914,4,1918
2000-05-14,Real Valladolid,1890,10,1900,RCD Mallorca,1973,-10,1963
2000-05-14,CD Alavés,1955,-5,1950,CD Numancia,1854,5,1859
2000-05-14,Rayo Vallecano,1909,-14,1895,Real Oviedo,1876,14,1890
2000-05-13,Atlético Madrid,1874,-5,1869,Sevilla FC,1762,5,1767
2000-05-07,Deportivo La Coruña,2000,-2,1998,Real Zaragoza,2025,2,2027
2000-05-07,Málaga CF,1933,-13,1920,Celta Vigo,1936,13,1949
2000-05-07,Athletic Bilbao,1917,-3,1914,Racing Santander,1898,3,1901
2000-05-07,Real Oviedo,1879,-3,1876,Atlético Madrid,1871,3,1874
2000-05-07,Sevilla FC,1776,-14,1762,RCD Mallorca,1959,14,1973
2000-05-07,Real Valladolid,1917,-27,1890,Real Betis,1817,27,1844
2000-05-06,Valencia CF,2113,6,2119,Real Sociedad,1918,-6,1912
2000-05-06,Real Madrid,2085,-16,2069,CD Alavés,1939,16,1955
2000-05-06,FC Barcelona,2089,-26,2063,Rayo Vallecano,1883,26,1909
2000-05-06,CD Numancia,1837,17,1854,Espanyol Barcelona,1979,-17,1962
2000-04-30,Real Zaragoza,2031,-6,2025,Athletic Bilbao,1911,6,1917
2000-04-30,Celta Vigo,1927,9,1936,Deportivo La Coruña,2009,-9,2000
2000-04-30,CD Alavés,1932,7,1939,Real Valladolid,1924,-7,1917
2000-04-30,Real Sociedad,1921,-3,1918,Málaga CF,1930,3,1933
2000-04-30,RCD Mallorca,1951,8,1959,Real Betis,1825,-8,1817
